WORD,WORDTYPE,DEFINITION
coffer,n.,"A trench dug in the bottom of a dry moat, and extending
   across it, to enable the besieged to defend it by a raking fire."
coffer,n.,"The chamber of a canal lock; also, a caisson or a
   cofferdam."
coffer,v. t.,To put into a coffer.
coffer,v. t.,"To secure from leaking, as a shaft, by ramming clay
   behind the masonry or timbering."
coffer,v. t.,"To form with or in a coffer or coffers; to furnish with
   a coffer or coffers."
cofferdam,n.,"A water-tight inclosure, as of piles packed with clay,
   from which the water is pumped to expose the bottom (of a river, etc.)
   and permit the laying of foundations, building of piers, etc."
cofferer,n.,One who keeps treasures in a coffer.
cofferwork,n.,Rubblework faced with stone.
coffin,n.,The case in which a dead human body is inclosed for burial.
coffin,n.,A basket.
coffin,n.,"A casing or crust, or a mold, of pastry, as for a pie."
coffin,n.,"A conical paper bag, used by grocers."
coffin,n.,"The hollow crust or hoof of a horse's foot, below the
   coronet, in which is the coffin bone."
coffined,imp. & p. p.,of Coffin
coffining,p. pr. & vb. n.,of Coffin
coffin,v. t.,"To inclose in, or as in, a coffin."
coffinless,a.,Having no coffin.
coffle,n.,A gang of negro slaves being driven to market.
cogged,imp. & p. p.,of Cog
cogging,p. pr. & vb. n.,of Cog
cog,v. t.,"To seduce, or draw away, by adulation, artifice, or
   falsehood; to wheedle; to cozen; to cheat."
cog,v. t.,"To obtrude or thrust in, by falsehood or deception; as, to
   cog in a word; to palm off."
cog,v. i.,"To deceive; to cheat; to play false; to lie; to wheedle; to
   cajole."
cog,n.,A trick or deception; a falsehood.
cog,n.,"A tooth, cam, or catch for imparting or receiving motion, as
   on a gear wheel, or a lifter or wiper on a shaft; originally, a
   separate piece of wood set in a mortise in the face of a wheel."
cog,n.,"A kind of tenon on the end of a joist, received into a notch
   in a bearing timber, and resting flush with its upper surface."
cog,n.,A tenon in a scarf joint; a coak.
cog,n.,"One of the rough pillars of stone or coal left to support the
   roof of a mine."
cog,v. t.,To furnish with a cog or cogs.
cog,n.,A small fishing boat.
cogency,n.,"The quality of being cogent; power of compelling
   conviction; conclusiveness; force."
cogenial,a.,Congenial.
cogent,p. a.,"Compelling, in a physical sense; powerful."
cogent,p. a.,"Having the power to compel conviction or move the will;
   constraining; conclusive; forcible; powerful; not easily reasisted."
cogently,adv.,"In a cogent manner; forcibly; convincingly;
   conclusively."
cogger,n.,A flatterer or deceiver; a sharper.
coggery,n.,Trick; deception.
coggle,n.,A small fishing boat.
coggle,n.,A cobblestone.
cogitability,n.,The quality of being cogitable; conceivableness.
cogitable,a.,"Capable of being brought before the mind as a thought or
   idea; conceivable; thinkable."
cogitabund,a.,Full of thought; thoughtful.
cogitated,imp. & p. p.,of Cogitate
cogitating,p. pr. & vb. n.,of Cogitate
cogitate,v. i.,To engage in continuous thought; to think.
cogitate,v. t.,To think over; to plan.
cogitation,n.,"The act of thinking; thought; meditation;
   contemplation."
cogitative,a.,"Possessing, or pertaining to, the power of thinking or
   meditating."
cogitative,a.,Given to thought or contemplation.
cogman,n.,A dealer in cogware or coarse cloth.
cognac,n.,"A kind of French brandy, so called from the town of Cognac."
cognate,a.,"Allied by blood; kindred by birth; specifically (Law),
   related on the mother's side."
cognate,a.,"Of the same or a similar nature; of the same family;
   proceeding from the same stock or root; allied; kindred; as, a cognate
   language."
cognate,n.,One who is related to another on the female side.
cognate,n.,"One of a number of things allied in origin or nature; as,
   certain letters are cognates."
cognateness,n.,The state of being cognate.
cognati,n. pl.,Relatives by the mother's side.
