EN_WORD,WORD,DEFINITION
a,Первый,"Первая буква английского и многих других алфавитов. Столица А алфавитов Средней и Западной Европы, а также маленькая буква (а), помимо форм в итальянском, черном и т. д., все происходят из старой латинской А, которая была заимствована из греческого алфавита, той же формы; и это было сделано из первой буквы (/) финского алфавита, эквивалента еврейского алфавита, и сама по"
a,a,"название шестого тона в модели крупной шкалы (то есть в C), или первого тона мелкой шкалы, который называется после него шкалой в A мелкой. Вторая строка виолетового тона находит в A в требном персонале. -- Острый (A/) является названием музыкального тона промежуточного между A и B. -- Плоский (A/) является названием промежуточного тона между A и G."
a,"Прилагательное,","адъектив, обычно называемый бесконечной статьей, и означает одну или какую-либо, но менее эмпатично."
a,(a),"в каждом; к или для каждого; как, «двадцать лиг в день», «сто фунтов в год», «доллар в дворе», и т.д."
a,a,In; on; at; by.
a,а,"в процессе; в действии; в; в; — используется с вербальными субстанциями в —ин, которые начинаются с консонанта."
a,(В,от.
a,"Он,","варварская коррупция обладания, его, а иногда и его и их."
a,(a),"прямое, бессмысленное, чтобы заполнить метр"
a-,а-о.о.,"А, как префикс к английским словам, поступает из различных источников. (1) Он часто означает на или в (от одного, формы АС. на), обозначая состояние, как в афоте, на ноге, абед, амисс, сон, агронд, алофт, далеко (АС. на дороге), и аналогично, аблаз, атрембл, и т. д. (2) АС. от, как в адоне (АС. от/не от"
a 1,a,"регистрационный знак, предоставленный подавторами (как в Lloyd's) кораблям первого класса."
aam,В,"Нидерландское и немецкое измерение жидкостей, варьирующееся в разных городах, в Амстердаме около 41 галон вина, в Антверпене 36 1/2, в Гамбурге 38 1/4."
aard-vark,Он,"уродливая птица рода Орицтеропус, немного похожая на свинью, распространенную в некоторых частях Южной Африки. она пьет в почве и питается полностью на мух, которые она поймает своим длинным, слабым языком."
aard-wolf,aard-wolf,"Карнивообразный квадрат (Proteles Lalandii), Южной Африки, напоминающий фокс и гиену."
aaronic,Aaronic,Alt. of Aaronical
aaronical,Аэрономический,"относится к Аарону, первому высшему священнику евреев."
aaron's rod,Стержень,"Кость с одной змеей, обрушившейся вокруг нее, отличается от кадуцеуса Меркурия, который имеет две."
aaron's rod,Ароновая,"растение с высоким цветением; esp. великий мулин, или хаг-тапер, и золото-радо."
ab-,Префикс,"Префикс во многих словах латинского происхождения. это означает от, удаленный, отделяющийся или уходящий, как в абдуктовом, абстрактном, абсценном."
ab,ab,"пятый месяц еврейского года по церковному расчету, одиннадцатый по гражданскому расчету, совпадающий примерно с августом."
abaca,abaca,"Манила-хэмп завод (Musa textilis); также, его волокна."
abacinate,аккуратно,"слепым красной горячей металлической плитой, держащейся перед глазами."
abacination,Уменьшаю,акт абацинации.
abaciscus,abaciscus,один из крыльев или квадратов тканенного полюса; абакуль.
abacist,abacist,"человек, который использует абакус в выставке счетов; калькулятор."
aback,-,Назад или назад; назад.
aback,Задний,Задние; в задние.
aback,-,"Назад против маста; — говорится о морях, когда их нажимает ветер."
aback,Абакус.,Abacus.
abactinal,abactinal,"относится к поверхности или концу, противоположному роту в излученном животном; — противоположному актинальному."
abaction,Украсть,кража скота в большом масштабе.
abactor,абактер,"человек, который крадет и выводит из дома животных или животных говядинами или говядинами."
abaculi,abaculi,от Абакуля
abaculus,Небольшая,"небольшая ткань стекла, мрамора или иной субстанции различного цвета, используемая для изготовления декоративных образов в мозаических павильонах."
abacuses,Защитники,от Абакуса
abaci,abaci,от Абакуса
abacus,abacus,"Таблица или лента, покрытая песком, древно используемая для рисования, расчетов и т.д."
abacus,В,"вычислительная таблица или рамка; инструмент для проведения аритметических вычислений мячами, сгибающимися на проводах, или контерами в трубах, низшей линией, представляющей единицы, второй линией, десятками и т. д. Он все еще используется в Китае."
abacus,abacus,"верхний член или разделение капитала колонны, непосредственно под архитектором."
abacus,abacus,"планшет, панель или отделение в украшенной или мозаичной работе."
abacus,abacus,"планшет, трава или стол, разделенный на перфорированные участки, для хранения чашек, бутылок или аналогичных; вид буфета, буфета или боковой панели."
abada,abada,«Риноцеры».
abaddon,abaddon,"разрушитель, или ангел бесконечности; — то же самое, что и Аполион и Асмодеус."
abaddon,Абадон,Ад; бесконечный пит.
abaft,Задняя,"Задний; в сторону стерны от; как, подземный колес."
abaft,-,"в сторону стерн; aft; как, чтобы идти назад."
abaisance,Поклонность.,«пониженности».
abaiser,abaiser,черный слон или животное.
abaist,abaist,Абашированный; заблужденный; распущенный.
abalienate,abalienate,для передачи названия от одного к другому; для отчуждения.
abalienate,Абаляйенат,для иностранца; для вывода.
abalienate,abalienate,чтобы вызвать изоляцию (мысли).
abalienation,Акт,акт абилитации; отчуждение; отчуждение.
abalone,На,"единообразный моллюск рода Халиотис. Шелл ленится с матерью-оф-перл, и используется для декоративных целей; море-оф. На побережье Калифорнии найдено несколько крупных видов, близко к скалам."
aband,"абсорбируемый,",отказ.
aband,абстрагироваться,запретить; изгнать.
abandoned,Заброшенный,отпущения
abandoning,Отбросить,отказ
abandon,Бросить,бросать или выводить; запрещать; выводить; отвергать.
abandon,Откажись,"отказаться абсолютно; отказаться полностью; отказаться полностью; отказаться от всякой связи с или заботиться о; отказаться, как человек, которому обязан верность или верность; отказаться; отказаться."
abandon,Забудь,Рефлексивно: Отдать (его самого) без попытки самоконтроля; Отдать (его самого) неограниченно; — часто в плохом смысле.
abandon,-,"для отмены всех претензий; — используется, когда застрахованное лицо отдает подчинителям все претензии на имущество, охватывающее политику, которая может оставаться после потери или повреждения опасностью, застрахованной против."
abandon,-,отказ; реинквизиция.
abandon,Откажись,полный отказ от естественных импульсов; свобода от искусственного ограничения; беспокойная свобода или легкость.
abandoned,"Заброшенный,","упущенный, пустый."
abandoned,"Заброшенный,","самоотпущенный, или отданный в обратную сторону; крайне злый, или грешивший без ограничений; необъяснимо злый; как, отпущенный злодеянин."
abandonedly,Заброшенный,Неограниченно.
abandonee,Заброшенный,"один, которому все законно отказано."
abandoner,"Бродяга,","тот, кто отказывается."
abandonment,-,"акт отказа, или состояние отказа; полная пустота; обретение."
abandonment,-,"реинквизиция застрахованным подзащитникам того, что может остаться от застрахованного имущества после потери или повреждения застрахованным опасностью."
abandonment,-,"преодоление права, претензий или привилегий, в отношении миль сайта и т.д."
abandonment,-,"добровольное отказ человека, к которому связывается особым отношениям, как жену, мужа или ребенка; пустота."
abandonment,Оставить,Бессмысленная свобода или легкость; отказ.
abandum,babandum,"все, что завоевано или конфисковано."
abanet,См.,Смотреть «абнет».
abanga,àbanga,"Западная индийская палма; также плод этой палмы, семена которой используются в качестве лекарства от заболеваний груди."
abannation,Абаннирование,Alt. of Abannition
abannition,Изгнание.,отказ.
abarticulation,abarticulation,"суставы, обычно тот вид суставы, который допускает свободное движение в суставе; диаартроз."
abased,a,Abase
abasing,абсорбирование,Abase
abase,аснизу,"снизить или депрессировать; бросить или бросить; как, понизить глаз."
abase,abase,"снизить или снизить низкий или низкий, как в ранге, должности, состоянии жизни или оценке достоинства; депрессировать; смириться; ослабить."
abased,a,пониженный; униженный.
abased,a,"побережь ниже, чем обычно, как фис; также, имея концы крыльев обращены вниз в сторону точки щита."
abasedly,"По-видимому,",абъекционно; пониженно.
abasement,-,"акт унижения, унижения или снижения; состояние унижения или унижения; унижение."
abaser,Он,"тот, кто, или тот, кто, обещает."
abashed,разбитый,от Абаши
abashing,Отбивка,от Абаши
abash,abash,"уничтожить самообладание; запутать или запутать, как бы внезапно возбуждая осознание вины, ошибки или нищеты; вставлять в стыд; дискомфорт; разорвать."
abashedly,-,в отвратительном виде.
abashment,Недостаток,состояние отвращения; заблуждение от стыда.
abassi,abassi,Alt. of Abassis
abassis,abasis,"серебряная монета Персии, стоимостью около двадцати центов."
abatable,Необузданная,"способность быть убийством; как, убийство писать или беспокойство."
abated,Отклонённый,от «убийца»
abating,Отклонение,от аббатства
abate,"Успокойся,",поражать; поражать.
abate,Уменьшить,"снизить или снизить с более высокого до более низкого состояния, числа или степени; снизить; снизить; договориться; умеренно сократить; как, снизить спрос; снизить гордость, заль, надежду."
abate,abat,"отводить; пропустить; как, отводить что-то из цены."
abate,абстрагироваться.,для блунда.
abate,абсорбировать,сократить в оценке; лишить.
abate,аббатство:,"чтобы полностью сбросить или положить конец; чтобы сбросить; как, чтобы сбросить беспокойство, чтобы сбросить писателя."
abate,Наследия,"для уменьшения; для уменьшения. легации несут ответственность за уничтожение полностью или в пропорции, при отсутствии активов."
abate,Уменьшить,"чтобы уменьшиться, или стать меньше в силе или насилии; как, болит, буря обрушится."
abate,Удерживай,"быть пораженным, или прийти в неволю; попасть через; неудачи; как, писатель убивает."
abate,абсорбировать,Убийство.
abatement,Борьба,"акт уничтожения, или состояние уничтожения; уменьшение, уменьшение или уменьшение; удаление или прекращение; как, уничтожение неудобства является его подавлением."
abatement,-,"сумма пониженной; то, что отнимается путем сокращения; отсрочки; снижения; разрешенная скидка или скидка."
abatement,Отпечаток,знак нечести на эскадриле.
abatement,Запуск,"Вход незнакомого, без права, в помещение после смерти последнего владельца, перед наследником или девизом."
abater,-,"человек, который, или тот, который, убивает."
abatis,Abattis,Alt. of Abattis
abattis,abattis,"средство обороны, сформированное палками деревьев, концы которых остры и направляются вверх, или против врага."
abatised,аббатство,предоставлено с убийством.
abator,аборатор,"тот, кто убивает беспокойство."
abator,-,"лицо, которое, без права, вступает в помещение после смерти последнего владельца, перед наследником или девизом."
abattoirs,abattuirs,от Abattoir
abattoir,abattuir,"Общественный кладбище для скота, овц и т.д."
abature,-,"трава и трещины поражены или трещины, проходя через них."
abatvoix,abatvoix,звуковой панель над пульпом или ростом.
abawed,"Поражённый,",Astonished; abashed.
abaxial,abaxyal,Alt. of Abaxile
abaxile,abaxile,Далеко от оси или центральной линии; экцентричный.
abay,abay,баркинг; баинг собак на их преи.
abb,Абс,"среди веаров, жёрн для варпа."
abba,abba,"Отец; религиозный высший; — в сирийских, коптических и эфиопских церквях, титул, дарованный епископам, и епископами патриарху."
abbacies,аббатства,аббатства
abbacy,"Достоинство,","достоинство, имущество или юрисдикция аббота."
abbatial,Аббатские,"принадлежность к аббатству; как, аббатские права."
abbatical,Аббатский,аббатство.
abbe,abbe,"французское слово отвечает на английский аббат, глава аббатства; но, как правило, титул уважения дается во Франции каждому, кто одет в церковную привычку или платье."
abbess,abbess,"Женщина высшая или правительница монахини, или конвент монахиней, имеющая одинаковую власть над монахинями, что и аббатство над монахинями."
abbeys,аббатства,от Абби
abbey,::,"монастырь или общество лиц любого пола, исключенных из мира и посвященных религии и целибации; также, монастырское здание или здания."
abbey,Церковь,Церковь монастыря.
abbot,аббат,Верховный или глава аббатства.
abbot,один,"один из классов епископов, чьи виды ранее были аббатствами."
abbotship,▪,государство или офис аббота.
abbreviated,сокращенное,от «кратко»
abbreviating,абстрагирование,откращения
abbreviate,аббревиатуру,"для того, чтобы сделать бриллианты; для того, чтобы сократить; для того, чтобы укрыть; для того, чтобы уменьшить путем сокращения или упущения, особенно слов, написанных или произнесенных."
abbreviate,аббревиатуру,"Для сокращения до низких терминов, как фракция."
abbreviate,аббревиатура,сокращенные; обрезанные; сокращенные.
abbreviate,аббревиатура,имея одну часть относительно короче другой или обычного типа.
abbreviate,аббревиатура,«аббревиату».
abbreviated,аббревиатура,сокращенные; относительно короткие; сокращенные.
abbreviation,аббревиатура,акт сокращения или уменьшения.
abbreviation,аббревиатура,результат обкращения; обкращение.
abbreviation,аббревиатура,"форму, в которую слово или фраза уменьшается сокращением и опустошением; письмо или письма, стоящие за словом или фразой, в которой они являются частью; как, Gen. для Genesis; США для Соединенных Штатов Америки."
abbreviation,аббревиатуру,"один или более дисков, через ствол ноты, разделяя его соответственно на кваверы, полукваверы или полу-семикваверы."
abbreviator,аббревиатуру,"тот, кто сокращает или сокращает."
abbreviator,один,"один из коллегии семидесяти двух офицеров папского суда, обязанность которого заключается в том, чтобы сделать короткую минуту решения по петиции, или ответ папы на письмо, а затем расширить минуту в официальную форму."
abbreviatory,b),служение или склонность к сокращению; сокращение; уклонение.
abbreviature,аббревиатура,сокращение; сокращенное состояние или форма.
abbreviature,abbreviature,аббревиатура; компендиум или абстракт.
abb wool,Посмотри,Смотреть Abb.
a b c,a,"первые три буквы алфавита, используемые для всего алфавита."
a b c,a,Пример для преподавания алфавита и первых элементов чтения.
a b c,a,"Самые простые основы любого предмета; как, A B C финансов."
abdal,abdal,религиозный поклонник или дервиш в Персии.
abderian,абдерианский,учитывая смех; склонность к глупым или непрестанным увлечениям.
abderite,"абдерит,","житель Абдеры, в Трасе."
abdest,"Поистине,","очищение, промывая руки перед молитвой; — ритм Мухаммеда."
abdicable,Отклонение,способность быть отказным.
abdicant,"Отрекаясь,",Абдикант; отказ; - последует от.
abdicant,Отрекающийся,"человек, который абдикует."
abdicated,Абдикат,от Абдиката
abdicating,Отклонение,от Абдиката
abdicate,Отречься,"сдаться или расстаться, как суверенная власть; окончательно отступить от заполнения или упражнения, как высшая должность, штат, достоинство; как, сдаться от престола, короны, папатии."
abdicate,-,"отказаться; отказаться; — говорить о власти, доверии, обязанности, праве и т.д."
abdicate,"Отклонить,",отвергнуть; бросить.
abdicate,Отречься,"отклонить и изгнать из семьи, как отец его ребенок; отклонить; дезертировать."
abdicate,Отречься,"чтобы отвергнуть или отказаться от престола, или другого высшего долга или достоинства."
abdication,•,"акт отказ; отказ от высшей должности, достоинства или доверия, его обладателем; обычно добровольное отказ от суверенной власти; как, отказ от престола, правительства, власти, власти."
abdicative,Абдикативное,"спровоцировать, или предполагать, абдикацию."
abdicator,Отклоняющий.,"человек, который абдикирует."
abditive,У,имея качество скрытия.
abditory,Место,место для скрывания или сохранения ценных вещей.
abdomen,брюшная,"желудок, или та часть тела между грудью и тазой. Также, полость желудка, которая ленится перитонеумом, и содержит желудок, тазоиды и другие висцеры. У мужчин, часто ограничиваясь частью между диафрагмой и началом тазой, оставшуюся называют тазой."
abdomen,Задняя,"Заднюю часть тела, за грудью, в насекомых, кростацеях и других артроподах."
abdominal,брюшной,"от или относятся к брюшной; вентральный; как, области брюшной, мышцы, полость."
abdominal,-,"имея абдоминальные фины; принадлежащие абдоминалам; как, абдоминальные рыбы."
abdominals,брюшной,от абдоминалов
abdominales,брюшная,абдоминалов
abdominal,Рыба,рыба из группы «абдоминалы».
abdominales,Брюшная,"группа включает в себя большую часть свежеводных рыб, и многие морские, имея вентральные фины под желудком за пекторами."
abdominalia,Группа,"группа циррипедов, имеющих абдоминальные дополнения."
abdominoscopy,bbdominospresse,обследование желудка для выявления желудочно-кишечных заболеваний.
abdominothoracic,bbdominotoracic,"относящийся к животу и груди, или груди."
abdominous,абдоминозный,имея протуберрантный желудок; покровный.
abduced,Получено,от абдуцирования
abducing,испускание,от абдуцирования
abduce,b),отвлечь или отвлечь; отвлечь; отвлечь в другую часть.
abducted,похищенный,отвлеченного
abducting,Похищение,отвлечения
abduct,Похищать,изъять сверхъестественно силой; изъять (человеческое существо) несправедливо и обычно насильством; похищать.
abduct,Похитить,"удалить, как край или другая часть, из его обычного положения."
abduction,Похищение,акт отвлечения или отвлечения; отвлечение; отвлечение.
abduction,"Движение,","движение, которое отделяет край или другую часть от оси, или средней линии, тела."
abduction,-,"несправедливое, а обычно и принудительное, выносящее от человека; как, похищение ребенка, похищение наследника."
abduction,*,"Силогизм или форма аргумента, в которой большая очевидна, но меньшая только вероятна."
abductor,"Тот,",кто похищает.
abductor,Мышечная,"мышца, которая служит для вытягивания части, или формирует среднюю линию тела; как, абдуктор oculi, который вытягивает глаз."
abeam,abeam,"На беме, то есть, на линии, которая образует правый угол с килом судна; противоположно центру бока судна."
abear,"абсюль,",носить; вести себя.
abear,абсолютно,встать с; выдерживать.
abearance,Поведение.,поведение.
abearing,Поведение.,поведение.
abecedarian,абекедеранский,"человек, который изучает алфавит; следовательно, тиро."
abecedarian,Один,"человек, занимающийся преподаванием алфавита."
abecedarian,abecedarian,Alt. of Abecedary
abecedary,Абеседарные,"относящийся к, или сформированный, буквы алфавита; алфавит; следовательно, rudimentary."
abecedary,abecedary,Пример; первый принцип или рудимент чего-либо.
abed,в,в постели или на кровати.
abed,(в,"к детскому кресту (в фразе «абед» то есть, отреченный ребенком)."
abegge,То,"так же, как и Aby."
abele,bebele,Белый поплар (Populus alba).
abelian,Абелиан,Alt. of Abelonian
abelite,Абелит,Alt. of Abelonian
abelonian,Одна,"один из сект в Африке (4-го века), упомянутый Святым Августин, который утверждает, что они поженились, но жили в континенте, по способу, как они предполагали, Абеля."
